iter	Passed	Remaining
0	48	48370
1	49	24878
2	50	16948
3	52	12950
4	53	10548
5	54	8948
6	55	7818
7	56	6959
8	57	6289
9	58	5756
10	59	5312
11	60	4941
12	60	4627
13	62	4390
14	63	4162
15	64	3960
16	65	3781
17	66	3621
18	67	3497
19	68	3368
20	69	3254
21	70	3149
22	71	3056
23	73	2971
24	74	2898
25	75	2835
26	76	2774
27	78	2711
28	79	2653
29	80	2616
30	81	2560
31	82	2506
32	84	2464
33	84	2411
34	85	2363
35	86	2318
36	87	2273
37	88	2230
38	88	2190
39	89	2150
40	90	2112
41	90	2075
42	91	2041
43	92	2007
44	93	1979
45	93	1947
46	94	1916
47	95	1886
48	95	1856
49	96	1828
50	96	1800
51	97	1773
52	97	1746
53	98	1719
54	98	1694
55	99	1669
56	99	1646
57	99	1623
58	100	1600
59	100	1578
60	101	1557
61	101	1535
62	101	1514
63	102	1495
64	102	1475
65	102	1456
66	103	1438
67	103	1420
68	104	1403
69	104	1386
70	104	1370
71	105	1354
72	105	1338
73	105	1322
74	106	1307
75	106	1292
76	106	1277
77	106	1263
78	107	1249
79	107	1235
80	107	1222
81	108	1209
82	108	1195
83	108	1183
84	108	1171
85	109	1160
86	109	1149
87	109	1138
88	110	1128
89	110	1117
90	110	1107
91	111	1099
92	111	1089
93	112	1079
94	112	1070
95	112	1060
96	112	1051
97	113	1042
98	113	1034
99	113	1025
100	114	1017
101	114	1009
102	114	1001
103	115	993
104	115	985
105	115	978
106	116	970
107	116	963
108	116	955
109	117	948
110	117	941
111	117	934
112	118	928
113	118	921
114	118	914
115	119	908
116	119	901
117	119	894
118	119	888
119	120	882
120	120	875
121	120	869
122	121	863
123	121	857
124	121	851
125	122	846
126	122	840
127	122	834
128	122	829
129	123	824
130	123	819
131	123	814
132	124	809
133	124	804
134	124	800
135	125	795
136	125	790
137	125	785
138	126	780
139	126	776
140	126	771
141	126	766
142	127	762
143	127	757
144	127	753
145	128	748
146	128	744
147	128	739
148	128	735
149	129	731
150	129	726
151	129	723
152	129	718
153	130	714
154	130	710
155	130	706
156	130	702
157	131	698
158	131	694
159	131	691
160	131	686
161	132	683
162	132	679
163	132	675
164	132	672
165	133	668
166	133	665
167	133	661
168	133	657
169	134	654
170	134	651
171	134	648
172	134	644
173	135	641
174	135	638
175	135	635
176	135	632
177	136	629
178	136	626
179	136	623
180	137	620
181	137	616
182	137	614
183	137	611
184	138	608
185	138	605
186	138	602
187	139	601
188	139	599
189	140	597
190	140	594
191	140	592
192	141	589
193	141	586
194	141	584
195	141	581
196	142	579
197	142	576
198	142	574
199	142	571
200	143	569
201	143	566
202	143	564
203	143	561
204	144	559
205	144	556
206	144	554
207	145	552
208	145	550
209	145	547
210	145	545
211	146	543
212	146	540
213	146	538
214	146	536
215	147	534
216	147	531
217	147	529
218	147	527
219	148	525
220	148	523
221	148	521
222	148	519
223	149	516
224	149	514
225	149	513
226	150	511
227	150	509
228	150	507
229	151	505
230	151	503
231	151	501
232	151	499
233	152	497
234	152	495
235	152	493
236	152	491
237	153	490
238	153	488
239	153	486
240	153	484
241	154	482
242	154	480
243	154	479
244	155	477
245	155	476
246	155	474
247	155	472
248	156	471
249	156	469
250	156	467
251	156	466
252	157	464
253	157	462
254	157	461
255	158	459
256	158	458
257	161	463
258	163	467
259	163	466
260	164	464
261	164	462
262	164	461
263	164	459
264	165	457
265	165	456
266	165	454
267	165	453
268	166	451
269	166	450
270	166	448
271	166	446
272	167	445
273	167	443
274	167	442
275	167	440
276	168	439
277	168	437
278	168	436
279	169	434
280	169	433
281	169	431
282	169	430
283	170	428
284	170	427
285	170	426
286	170	424
287	171	423
288	171	422
289	171	420
290	172	419
291	172	417
292	172	416
293	172	415
294	173	414
295	173	413
296	173	411
297	174	410
298	174	409
299	174	407
300	175	406
301	175	405
302	175	404
303	175	402
304	176	401
305	176	400
306	176	398
307	176	397
308	177	396
309	177	395
310	177	393
311	178	392
312	178	391
313	178	390
314	178	388
315	179	387
316	179	386
317	179	385
318	180	384
319	180	383
320	180	382
321	180	380
322	181	379
323	181	378
324	181	377
325	182	376
326	182	375
327	182	374
328	182	373
329	183	371
330	183	370
331	183	369
332	183	368
333	184	367
334	184	366
335	184	365
336	185	364
337	185	362
338	185	361
339	185	360
340	186	359
341	186	359
342	187	358
343	187	357
344	188	358
345	189	357
346	189	356
347	189	355
348	190	354
349	190	353
350	190	352
351	190	351
352	191	350
353	191	349
354	192	348
355	192	348
356	193	348
357	193	347
358	193	346
359	194	345
360	194	344
361	194	343
362	195	342
363	195	341
364	195	340
365	196	339
366	196	338
367	196	337
368	196	336
369	197	335
370	197	334
371	197	333
372	198	332
373	198	331
374	198	330
375	198	330
376	199	329
377	199	328
378	200	328
379	200	327
380	201	327
381	201	326
382	202	326
383	202	325
384	203	324
385	203	323
386	204	323
387	204	322
388	204	321
389	204	320
390	205	319
391	205	318
392	205	317
393	205	316
394	206	315
395	206	315
396	206	314
397	207	313
398	207	312
399	207	311
400	207	310
401	208	309
402	208	308
403	208	307
404	208	307
405	209	306
406	209	305
407	209	304
408	210	303
409	210	302
410	210	301
411	210	300
412	211	299
413	211	299
414	211	298
415	211	297
416	212	296
417	212	295
418	212	294
419	212	293
420	213	292
421	213	292
422	213	291
423	213	290
424	214	289
425	214	288
426	214	287
427	214	287
428	215	286
429	215	285
430	215	284
431	215	283
432	216	283
433	216	282
434	216	281
435	217	280
436	217	280
437	217	279
438	217	278
439	218	278
440	219	277
441	219	277
442	219	276
443	219	275
444	220	274
445	220	273
446	220	273
447	220	272
448	221	271
449	221	270
450	221	269
451	221	269
452	222	268
453	222	267
454	222	266
455	222	266
456	223	265
457	223	264
458	223	263
459	223	262
460	224	262
461	224	261
462	224	260
463	225	259
464	225	259
465	225	258
466	225	257
467	226	256
468	226	256
469	226	255
470	226	254
471	227	254
472	227	253
473	227	252
474	227	251
475	228	251
476	228	250
477	228	249
478	228	248
479	229	248
480	229	247
481	229	246
482	229	245
483	230	245
484	230	244
485	230	243
486	230	243
487	231	242
488	231	241
489	231	241
490	232	240
491	232	239
492	232	239
493	232	238
494	233	237
495	233	237
496	233	236
497	234	235
498	234	235
499	234	234
500	234	234
501	235	233
502	235	232
503	235	232
504	236	231
505	236	230
506	236	230
507	236	229
508	237	228
509	237	228
510	237	227
511	238	226
512	238	226
513	238	225
514	239	225
515	239	224
516	239	223
517	239	223
518	240	222
519	240	221
520	240	221
521	240	220
522	241	219
523	241	219
524	241	218
525	241	218
526	242	217
527	242	216
528	242	216
529	242	215
530	243	214
531	243	214
532	243	213
533	243	212
534	244	212
535	244	211
536	244	210
537	244	210
538	245	209
539	245	209
540	245	208
541	245	207
542	246	207
543	246	206
544	246	205
545	246	205
546	247	204
547	247	204
548	247	203
549	248	203
550	248	202
551	249	202
552	249	201
553	250	201
554	250	200
555	250	200
556	251	199
557	251	199
558	251	198
559	252	198
560	252	197
561	252	196
562	252	196
563	253	195
564	253	195
565	253	194
